Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.94044,0.9398641449120938,0.8718186310847541,0.9045635174977567,0.9231462367928056
Random Forest,0.93992,0.9374834085479161,0.8726216950827773,0.9038904530330176,0.9247427319890962
XGBoost,0.9386,0.9336815657233536,0.8723128243143069,0.9019545222278998,0.9248907181019917
LightGBM,0.93842,0.9330118253286649,0.872436372621695,0.90170790103751,0.9248528053387601
