Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.94128,0.9423821605020697,0.8719421793921424,0.9057947763588526,0.9235080445689448
LightGBM,0.94074,0.9416282642089093,0.8709537929330368,0.9049131927730175,0.9226438778357026
XGBoost,0.94048,0.9411057692307693,0.8706449221645663,0.9045051983057374,0.9226991762267157
Logistic Regression,0.93982,0.9426939872354719,0.8668149246355324,0.9031635181668973,0.9227061023421971
Decision Tree,0.87204,0.7967026306218936,0.8119594761551767,0.8042587040323074,0.8563819621400515
