Model,CV Accuracy,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9253704530830387,0.94046,0.9399267399267399,0.8718186310847541,0.9045925071307246,0.9231450730007822
Random Forest,0.9344353118366907,0.93992,0.9374834085479161,0.8726216950827773,0.9038904530330176,0.9247427319890962
XGBoost,0.9333927863702401,0.93974,0.9373879556470354,0.8721275018532246,0.9035809145892668,0.9249665052616847
LightGBM,0.934176544523837,0.93828,0.9326948480845443,0.8723128243143069,0.9014938712972421,0.9242550894287753
Decision Tree,0.9248972682439712,0.93456,0.9233643634456536,0.8700889547813195,0.895935373067871,0.9201488803874946
