Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Soft Voting Ensemble (Top 4),0.94114,0.9424143229340637,0.8714479861625896,0.9055428956574767,0.924566280473337
Logistic Regression,0.94044,0.9398641449120938,0.8718186310847541,0.9045635174977567,0.9231462367928056
Gaussian Naive Bayes,0.94022,0.9422368156536889,0.8686063750926613,0.9039246568737745,0.9235165994451624
Gradient Boosting,0.93994,0.9382437013893505,0.8718804052384482,0.903845538087157,0.924915403464515
Random Forest,0.93992,0.9374834085479161,0.8726216950827773,0.9038904530330176,0.9247427319890962
Stacking Ensemble,0.9392,0.9349609633452428,0.8729305658512478,0.9028816050092646,0.9242649094949089
XGBoost,0.9386,0.9336815657233536,0.8723128243143069,0.9019545222278998,0.9248907181019917
LightGBM,0.93842,0.9330118253286649,0.872436372621695,0.90170790103751,0.9248528053387601
Easy Ensemble,0.93806,0.9323601294669397,0.8719421793921424,0.9011395920452007,0.9239171512645498
