Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Decision Tree,1.0,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0
Logistic Regression,0.99998,1.0,0.9999333333333333,0.9999666655555185,1.0
